,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope
215,215,SN2006al,0.067849,1.35,0.07,Ia-norm,0.0221,0.0,0.0,1.3,1.0
216,216,SN2003fa,0.040388,0.8,0.05,Ia-99aa-like,0.0334,0.059,0.0,1.4,0.6
217,217,SN2000dn,0.032064999999999996,1.04,0.04,Ia-norm,0.0409,0.0,0.0409,1.2,1.1
218,218,SN2006bh,0.010847,1.391299068558763,0.07400000000000001,Ia-norm,0.0227,0.0,0.0227,,
219,219,SN2001fh,0.01299,1.51,0.08,Ia-norm,0.6394,0.0,0.6394,0.6,1.6
220,220,SN2006ot,0.0531,0.84,0.05,Ia-norm,0.0151,0.0,0.0151,1.9,0.5
221,221,SN2002de,0.028116000000000002,0.96,0.04,Ia-norm,0.0144,0.239,0.0,1.1,1.1
222,222,SN2003kf,0.007388,1.1,0.05,Ia-norm,0.2687,0.386,0.0,1.4,0.7
223,223,SN2004as,0.031020999999999996,0.92,0.08,Ia-norm,0.0132,0.195,0.0,1.4,0.9
224,224,SN2012fr,0.005457,0.85,0.0,Ia-norm,0.0177,0.0,0.0177,,
225,225,SN2005iq,0.034043000000000004,1.19,0.06,Ia-norm,0.0186,0.2,0.0,1.9,0.7
226,226,SN1990Y,0.039034,1.0257926780507316,0.07400000000000001,Ia-norm,0.0069,0.0,0.0069,,
227,227,SN1996ab,0.13,1.01,0.07,Ia-norm,0.0274,0.0,0.0274,,
228,228,SN2002er,0.008569,1.23,0.03,Ia-norm,0.1376,0.0,0.1376,,
229,229,SN2002jy,0.0196,0.88,0.06,Ia-norm,0.045,0.114,0.0,1.0,1.1
230,230,SN2002es,0.02843,1.3592957019308485,0.07,Ia-pec,0.1552,0.0,0.1552,0.7,1.5
231,231,SN2011iv,0.0065,1.69,0.0,Ia-norm,0.0098,0.0,0.01,1.3,1.1
232,232,SN2002ef,0.023977000000000002,1.06,0.04,Ia-norm,0.0251,0.0,0.0251,1.9,1.1
233,233,SN2000dm,0.015069999999999997,1.46,0.04,Ia-norm,0.1606,0.0,0.1606,1.1,1.1
234,234,SN2005lu,0.032008999999999996,0.74,0.05,Ia-norm,0.0218,0.0,0.0218,0.3,0.3
235,235,SN2006em,0.019233,1.5,0.15,Ia-91bg,0.0513,0.0,0.0513,1.6,1.3
236,236,SN2006az,0.030935,1.29,0.03,Ia-norm,0.0111,0.0,0.0111,1.9,0.8
237,237,SN1999cl,0.007609,1.17,0.06,Ia-norm,0.0325,1.328,0.0,1.4,0.7
238,238,SN2008bf,0.0246,1.05,0.04,Ia-norm,0.0296,0.093,0.0,1.1,1.1
239,239,SN2005kc,0.015119999999999996,1.24,0.04,Ia-norm,0.1136,0.2,0.0,1.2,1.1
240,240,SN1996ai,0.003156,0.88,0.06,Ia-norm,0.0122,0.0,0.0122,1.8,1.6
241,241,SN2002do,0.015881,1.56,0.08,Ia-norm,0.2703,0.0,0.2703,,
242,242,SN2008A,0.016428,1.28,0.09,Iax,0.0427,0.0,0.0427,0.7,1.5
