,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
80,80,SN2006te,0.031592,1.04,0.07,Ia-norm,0.0385,0.0,0.0,,,,,,,,,,0.0452481769025325,,0.0
81,81,SN2006cf,0.041552,1.08357496,0.07,Ia-norm,0.013,0.0,0.013,1.0,1.1,0.0945162385431789,,,,,,,0.0159626509994268,-0.051097413853359,0.0945162385431789
82,82,SN2006bt,0.032156,1.0,0.06,Ia-norm,0.0424,0.301,0.0,1.2,0.8,0.1814266439020965,0.313,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0500628501176834,0.072571138237631,0.313
83,83,SN2007cg,0.033196,1.05,0.1,Ia-norm,0.0686,0.0,0.0686,,,,0.76,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0819618478417396,,0.76
84,84,SN2004fz,0.017312,1.36,0.05,Ia-norm,0.0527,0.0,0.0527,1.7,1.7,0.0787664496447068,,,,,,,0.0613497458398342,-0.0028967655298544,0.0787664496447068
85,85,SN1996X,0.006945,1.26,0.04,Ia-norm,0.0596,0.0,0.0596,1.5,1.0,0.0567753908264071,,,,,,,0.0694277584552764,-0.0283752339009915,0.0567753908264071
86,86,SN2000cf,0.036425,1.16,0.05,Ia-norm,0.0284,0.2,0.0,,,,,,,,,,0.0334010608494281,,0.0
87,87,SN1992G,0.00529,1.094632894,0.074,Ia-norm,0.0168,0.0,0.0168,,,,,,,,,,0.0195065736770629,,0.0
88,88,SN2006ke,0.017182,1.251421151,0.074,Ia-91bg,0.1588,0.0,0.1588,,,,,,,,,,0.1880754232406616,,0.0
89,89,SN2006eu,0.023586,1.27,0.06,Ia-norm,0.1671,0.0,0.1671,,,,,,,,,,0.1939333826303482,,0.0
90,90,SN1992A,0.006261,1.47,0.05,Ia-norm,0.0144,0.027,0.0,1.0,1.1,0.3895345469022347,,,,,,,0.0170400254428386,0.2826342871460952,0.3895345469022347
91,91,SN2007as,0.017572,1.113965382,0.074,Ia-norm,0.1229,0.0,0.1229,1.5,0.8,0.167864073463323,0.138,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.05,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.1424278914928436,0.148701147797972,0.138
92,92,SN2005M,0.022,0.87,0.06,Ia-91T,0.0273,0.0,0.0273,1.1,1.1,0.1266874722050444,0.117,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.06,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.0311955641955137,0.0107303614360994,0.117
93,93,SN2006sr,0.02414,1.24,0.06,Ia-norm,0.0804,0.2,0.0,1.2,1.0,0.1460678512735044,,,,,,,0.0941460728645324,0.0839822377237133,0.1460678512735044
94,94,SN1996bl,0.036,1.07,0.06,Ia-norm,0.0851,0.08,0.0,,,,,,,,,,0.0994253605604171,,0.0
95,95,SN2003cq,0.033283,1.2,0.06,Ia-norm,0.0171,0.1,0.0,0.9,1.3,0.1993550357014553,,,,,,,0.0202108845114707,0.0606873855998735,0.1993550357014553
96,96,SN1996bk,0.006665,1.78,0.05,Ia-norm,0.0156,0.0,0.0156,,,,,,,,,,0.0179879684001207,,0.0
97,97,SN2006bu,0.081,0.908304596,0.07,Ia-norm,0.022,0.0,0.022,,,,,,,,,,0.0256785303354263,,0.0
98,98,SN2007sr,0.005477,0.919,0.07,Ia-norm,0.0398,0.0,0.0398,1.3,1.1,0.2317310068088825,0.173,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0470677092671394,0.1261204252454675,0.173
99,99,SN2000bh,0.022809,1.11,0.09,Ia-norm,0.0469,0.0,0.0469,,,,0.065,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0506608039140701,,0.065
100,100,SN2001ex,0.026378,1.56,0.12,Ia-91bg,0.0452,0.0,0.0452,1.7,1.3,0.2655327479812457,,,,,,,0.0530068762600421,0.2151531844856435,0.2655327479812457
101,101,SN2002cr,0.0094,1.19,0.06,Ia-norm,0.0212,0.094,0.0,1.0,1.7,0.0921472052580896,,,,,,,0.0246212482452392,-0.0426343456116065,0.0921472052580896
102,102,SN2002dj,0.009393,1.19,0.05,Ia-norm,0.0816,0.0,0.0816,1.5,0.9,0.1687573349627193,0.093,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0951581448316574,0.1045126806794414,0.093
103,103,SN1998es,0.010567,0.85,0.04,Ia-99aa-like,0.0277,0.152,0.0,1.1,1.1,0.1996186699575302,0.14,Jiawen,,,,,0.0321207828819751,0.0872214048321637,0.14
104,104,SN2006S,0.032102,0.93,0.04,Ia-99aa-like,0.0139,0.177,0.0,1.2,1.1,0.1723305166310079,,,,,,,0.0166868809610605,0.0352800572314926,0.1723305166310079
105,105,SN2002G,0.033737,1.25,0.04,Ia-norm,0.0105,0.08,0.0,,,,0.39,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0126536078751087,,0.39
106,106,SN2005eq,0.028977,0.88,0.05,Ia-91T,0.0629,0.0,0.0629,1.2,1.2,0.1414328058133645,0.135,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.044,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.0739845559000969,0.0670298233416524,0.135
107,107,SN2003W,0.020071,1.14,0.04,Ia-norm,0.0392,0.239,0.0,1.3,0.7,0.3646075361199936,,,,,,,0.0478060059249401,0.2512140877875062,0.3646075361199936
108,108,SN2006os,0.032809,1.070987498,0.07,Ia-norm,0.1254,0.0,0.1254,,,,0.471,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.34,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.1458637565374374,,0.471
109,109,SN2008bc,0.015087,0.94242142,0.074,Ia-norm,0.2251,0.0,0.2251,1.5,0.7,0.0397936163570852,0.003,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.0,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.2622175812721252,0.1471579172721,0.003
110,110,SN2006bw,0.030002,1.28,0.09,Ia-norm,0.0318,0.0,0.0318,1.2,1.1,0.2597196809455001,,,,,,,0.0374025963246822,0.1444171205635847,0.2597196809455001
111,111,SN2007hj,0.014113,1.95,0.06,Ia-norm,0.0747,0.0,0.0747,1.3,1.1,0.0,,,,,,,0.088098369538784,0.0743243908282877,0.0
112,112,SN2006gz,0.02363,0.69,0.04,Ia-supCh,0.0548,0.243,0.0,1.4,0.7,0.0678452902336838,0.18,https://iopscience.iop.org/article/10.1086/523301/pdf,,,,,0.0633229166269302,0.0156420544876958,0.18
113,113,SN1998eg,0.02476,1.14,0.05,Ia-norm,0.1055,0.202,0.0,,,,,,,,,,0.120657131075859,,0.0
114,114,SN2000ce,0.016305,1.0,0.08,Ia-norm,0.0473,0.0,0.0473,,,,0.57,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0565381944179534,,0.57
